"anonymeID","weight_g","trip_length","tide_height","avg_tide_depth","tide_time","tide_start","tide_end"
"91515","650",103,-0.03,0.0851079146842756,2020-05-07 09:39:00,-1.43333333333333,0.283333333333333
"89757","2200",165,0.1,0.233345394763747,2020-05-10 11:30:00,-1.65,1.1
"133453","1000",165,0.1,0.233345394763747,2020-05-10 11:30:00,-1.65,1.1
"12185","2080",165,0.1,0.233345394763747,2020-05-10 11:30:00,-1.65,1.1
"12753","1040",165,0.1,0.233345394763747,2020-05-10 11:30:00,-1.65,1.1
"91515","990",163,0.04,0.170106599004991,2020-08-20 10:43:00,-1.11666666666667,1.6
"12165","1260",163,0.04,0.170106599004991,2020-08-20 10:43:00,-1.11666666666667,1.6
"91515","870",171,-0.04,0.0945666042196038,2020-08-22 12:02:00,-1.5,1.35
"14764","780",171,-0.04,0.0945666042196038,2020-08-22 12:02:00,-1.5,1.35
"13212","430",171,-0.04,0.0945666042196038,2020-08-22 12:02:00,-1.5,1.35
"184723","2100",171,-0.04,0.0945666042196038,2020-08-22 12:02:00,-1.5,1.35
"13212","990",177,0.18,0.345788545471881,2020-09-05 11:40:00,-1.91666666666667,1.03333333333333
"12887","870",168,0.18,0.324643415728788,2020-09-05 11:40:00,-1.76666666666667,1.03333333333333
"12846","3200",328,0.18,0.581104745134966,2020-09-05 11:40:00,-2.7,2.76666666666667
"131302","4930",328,0.18,0.581104745134966,2020-09-05 11:40:00,-2.7,2.76666666666667
"265133","3730",328,0.18,0.581104745134966,2020-09-05 11:40:00,-2.7,2.76666666666667
"113277","1020",115,1.11,1.31717459849357,2020-09-14 07:38:00,0.283333333333333,2.2
"12761","990",115,1.11,1.31717459849357,2020-09-14 07:38:00,0.283333333333333,2.2
"113277","390",199,0.74,0.996005074044978,2020-09-15 08:29:00,-0.633333333333333,2.68333333333333
"252472","360",199,0.74,0.996005074044978,2020-09-15 08:29:00,-0.633333333333333,2.68333333333333
"83275","1160",157,0.36,0.465636235240403,2020-09-16 09:10:00,-1.48333333333333,1.13333333333333
"91515","790",157,0.36,0.465636235240403,2020-09-16 09:10:00,-1.48333333333333,1.13333333333333
"12185","1260",157,0.36,0.465636235240403,2020-09-16 09:10:00,-1.48333333333333,1.13333333333333
"12165","1150",157,0.36,0.465636235240403,2020-09-16 09:10:00,-1.48333333333333,1.13333333333333
"12165","400",118,0.19,0.249999528972335,2020-09-18 10:27:00,-1,0.966666666666667
"12185","2120",118,0.19,0.249999528972335,2020-09-18 10:27:00,-1,0.966666666666667
"91515","460",118,0.19,0.249999528972335,2020-09-18 10:27:00,-1,0.966666666666667
"83275","1560",118,0.19,0.249999528972335,2020-09-18 10:27:00,-1,0.966666666666667
"12846","1210",245,-0.3,0.00545048546523376,2020-09-19 11:05:00,-1.58333333333333,2.5
"91515","460",245,-0.3,0.00545048546523376,2020-09-19 11:05:00,-1.58333333333333,2.5
"12165","390",245,-0.3,0.00545048546523376,2020-09-19 11:05:00,-1.58333333333333,2.5
"12185","3160",166,-0.26,-0.12498351434938,2020-09-20 11:43:00,-1.45,1.31666666666667
"91515","3000",166,-0.26,-0.12498351434938,2020-09-20 11:43:00,-1.45,1.31666666666667
"83275","2460",166,-0.26,-0.12498351434938,2020-09-20 11:43:00,-1.45,1.31666666666667
"12165","2910",166,-0.26,-0.12498351434938,2020-09-20 11:43:00,-1.45,1.31666666666667
"12846","4790",303,-0.26,0.166687129523346,2020-09-20 11:43:00,-2.11666666666667,2.93333333333333
"131302","4990",303,-0.26,0.166687129523346,2020-09-20 11:43:00,-2.11666666666667,2.93333333333333
"12185","600",140,1.26,1.39412288056501,2020-09-27 07:00:00,-0.25,2.08333333333333
"91515","410",140,1.26,1.39412288056501,2020-09-27 07:00:00,-0.25,2.08333333333333
"12165","180",140,1.26,1.39412288056501,2020-09-27 07:00:00,-0.25,2.08333333333333
"198244","1760",141,0.68,0.762608833684159,2020-09-29 08:49:00,-1.45,0.9
"61153","1380",141,0.68,0.762608833684159,2020-09-29 08:49:00,-1.45,0.9
"12165","860",147,0.06,0.157625529149115,2020-10-03 10:47:00,-1.11666666666667,1.33333333333333
"12588","160",147,0.06,0.157625529149115,2020-10-03 10:47:00,-1.11666666666667,1.33333333333333
"12185","580",147,0.06,0.157625529149115,2020-10-03 10:47:00,-1.11666666666667,1.33333333333333
"61153","830",147,0.06,0.157625529149115,2020-10-03 10:47:00,-1.11666666666667,1.33333333333333
"83275","520",147,0.06,0.157625529149115,2020-10-03 10:47:00,-1.11666666666667,1.33333333333333
"61153","2460",142,-0.3,-0.190872512128131,2020-10-17 10:08:00,-0.933333333333333,1.43333333333333
"83275","3906",142,-0.3,-0.190872512128131,2020-10-17 10:08:00,-0.933333333333333,1.43333333333333
"91515","2460",142,-0.3,-0.190872512128131,2020-10-17 10:08:00,-0.933333333333333,1.43333333333333
"12165","2260",142,-0.3,-0.190872512128131,2020-10-17 10:08:00,-0.933333333333333,1.43333333333333
"61153","4380",196,-0.39,-0.200318638038014,2020-10-18 10:46:00,-1.61666666666667,1.65
"198856","4640",196,-0.39,-0.200318638038014,2020-10-18 10:46:00,-1.61666666666667,1.65
"12185","5160",196,-0.39,-0.200318638038014,2020-10-18 10:46:00,-1.61666666666667,1.65
"185445","3820",196,-0.39,-0.200318638038014,2020-10-18 10:46:00,-1.61666666666667,1.65
"198244","720",196,-0.39,-0.200318638038014,2020-10-18 10:46:00,-1.61666666666667,1.65
"12165","2220",145,-0.39,-0.241639548027399,2020-10-18 10:46:00,-0.766666666666667,1.65
"267566","3850",196,-0.39,-0.200318638038014,2020-10-18 10:46:00,-1.61666666666667,1.65
"83275","5260",196,-0.39,-0.200318638038014,2020-10-18 10:46:00,-1.61666666666667,1.65
"12165","2170",187,-0.32,-0.136275670024209,2020-10-19 11:24:00,-1.33333333333333,1.78333333333333
"198856","4260",187,-0.32,-0.136275670024209,2020-10-19 11:24:00,-1.33333333333333,1.78333333333333
"61153","4340",187,-0.32,-0.136275670024209,2020-10-19 11:24:00,-1.33333333333333,1.78333333333333
"185445","3960",187,-0.32,-0.136275670024209,2020-10-19 11:24:00,-1.33333333333333,1.78333333333333
"198244","1250",187,-0.32,-0.136275670024209,2020-10-19 11:24:00,-1.33333333333333,1.78333333333333
"267566","3360",187,-0.32,-0.136275670024209,2020-10-19 11:24:00,-1.33333333333333,1.78333333333333
"83275","3960",187,-0.32,-0.136275670024209,2020-10-19 11:24:00,-1.33333333333333,1.78333333333333
"84993","3860",187,-0.32,-0.136275670024209,2020-10-19 11:24:00,-1.33333333333333,1.78333333333333
"12185","4220",187,-0.32,-0.136275670024209,2020-10-19 11:24:00,-1.33333333333333,1.78333333333333
"91515","2890",187,-0.32,-0.136275670024209,2020-10-19 11:24:00,-1.33333333333333,1.78333333333333
"267566","2030",195,0.2,0.373517580568482,2020-10-20 12:45:00,-1.93333333333333,1.31666666666667
"185445","1740",195,0.2,0.373517580568482,2020-10-20 12:45:00,-1.93333333333333,1.31666666666667
